start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
1.9380986,3.1981686000000003,58,95,#C C holds a cooking pot
3.1981686000000003,4.2574386,95,127,#C C adjusts the stove
4.2574386,5.9953686,127,179,#C C picks the cooking pot
5.9953686,8.8726086,179,266,#C C places the cooking pot on a chop board
8.8726086,10.664058599999999,266,319,#C C touches a pan on the rack
10.664058599999999,14.785438599999999,319,443,#C C opens the cabinet
14.785438599999999,15.8792786,443,476,#C C holds a strainer bowl
15.8792786,17.2791186,476,518,#C C places a utensil on the cabinet #unsure
17.2791186,20.0192486,518,600,#C C closes the cabinet
20.0192486,20.797458600000002,600,623,#C C places the strainer bowl in the sink
20.797458600000002,22.0030186,623,659,#C C moves a cooking pot aside
22.0030186,24.2258386,659,726,#C C picks a cooking pot on the chop board
24.2258386,29.030768600000002,726,870,#C C pours the food on the strainer bowl
29.030768600000002,29.8004986,870,893,#C C places the cooking pot on a chop board
29.8004986,30.365958600000003,893,910,#C C picks chopsticks from the stove
30.365958600000003,31.398068600000002,910,941,#C C switches the chopsticks to the left hand
31.398068600000002,32.9274186,941,987,#C C removes dirt from the cooking pot
32.9274186,33.7596986,987,1012,#C C places the dirt on the chop board
33.7596986,34.6155086,1012,1038,#C C picks the cooking pot
34.6155086,35.7979786,1038,1073,#C C places the cooking pot on the stove
35.7979786,37.0770286,1073,1112,#C C places the chopsticks on the countertop
37.0770286,39.0413886,1112,1171,#C C picks the strainer bowl on the sink
39.0413886,39.6981486,1171,1190,#C C places the strainer bowl on the chop board
39.6981486,40.5737686,1190,1217,#C C picks a knife from the shelf
40.5737686,41.2206986,1217,1236,#C C places the knife on the chop board
41.2206986,41.749188600000004,1236,1252,#C C holds the strainer bowl
41.749188600000004,43.9765886,1252,1319,#C C picks the chopsticks on the countertop
43.9765886,47.3869986,1319,1421,#C C inspects her cloth
47.3869986,48.7999486,1421,1463,#C C picks food with chopstick #unsure
48.7999486,49.5779686,1463,1487,#C C places the food on the chop board
49.5779686,50.5800986,1487,1517,#C C picks food with chopstick
50.5800986,51.811688600000004,1517,1554,#C C places the food on the chop board
51.811688600000004,53.1738486,1554,1595,#C C picks food with chopstick
53.1738486,53.7223586,1595,1611,#C C holds the strainer bowl
53.7223586,54.4982386,1611,1634,#C C places the food on the chop board
54.4982386,55.2542786,1634,1657,#C C picks food with chopstick
55.2542786,55.9053086,1657,1677,#C C places the food on the chop board
55.9053086,56.634038600000004,1677,1698,#C C picks food with chopstick
56.634038600000004,57.3845786,1698,1721,#C C places the food on the chop board
57.3845786,62.974858600000005,1721,1889,#C C pours the food on the chop board
62.974858600000005,64.0104386,1889,1920,#C C picks food with chopstick
64.0104386,64.71017859999999,1920,1941,#C C places the food on the chop board
64.71017859999999,65.39488859999999,1941,1961,#C C picks food with chopstick
65.39488859999999,66.6197686,1961,1998,#C C places the food on the chop board
66.6197686,68.15085859999999,1998,2044,#C C places the strainer bowl on the countertop
68.15085859999999,68.80767859999999,2044,2064,#C C inspects the food
68.80767859999999,69.42976859999999,2064,2082,#C C holds the chopsticks
69.42976859999999,70.44283859999999,2082,2113,#C C picks a knife from the chop board
70.44283859999999,74.3894486,2113,2231,#C C inspects the food
74.3894486,86.1577586,2231,2584,#C C chops the food
86.1577586,90.15170859999999,2584,2704,#C C inspects the food
90.15170859999999,99.3340286,2704,2979,#C C chops the food
99.3340286,100.25100859999999,2979,3007,#C C inspects the food
100.25100859999999,108.64225859999999,3007,3259,#C C chops the food
108.64225859999999,110.0237786,3259,3300,#C C inspects the food
110.0237786,122.7699686,3300,3682,#C C chops the food
122.7699686,123.5480686,3682,3706,#C C moves the strainer bowl
123.5480686,128.5917586,3706,3857,#C C chops the food
128.5917586,130.38067859999998,3857,3911,#C C scoops the food with a knife
130.38067859999998,132.0023986,3911,3959,#C C puts the food on the cooking pot
132.0023986,136.5384086,3959,4096,#C C inspects the food
136.5384086,138.2780286,4096,4148,#C C scoops the food with a knife
138.2780286,141.6517386,4148,4249,#C C puts the food on the cooking pot
